id_auction_bid_validation,id_user_bid_validation,amount_bid_validation,date_bid_validation
1,1,10.725,11/27/2019 7:05:11
1,11,10.95,11/27/2019 16:05:23
2,3,200,1/5/2020 18:54
3,8,318.55,7/11/2019 14:38
4,1,200,7/10/2020 09:15
5,15,8,8/10/2020 03:07
7,18,40.7,11/2/2019 05:56
8,6,3.85,7/14/2020 4:45:51
9,3,12,1/2/2019 19:56
9,1,15,1/20/2019 20:56:29
10,6,12,5/3/2019 09:56
10,9,15,5/3/2019 10:06
10,8,23,5/3/2019 15:56
11,2,500,1/12/2020 04:45
11,5,550,1/12/2020 09:12
11,2,605,1/12/2020 13:02
11,5,670,1/12/2020 13:10
11,7,700,1/12/2020 13:26
11,2,800,1/12/2020 13:27
11,22,1000,1/13/2020 9:27:55
12,2,15,12/13/2020 10:40:15
